antibody_id,surface_hydrophobicity,surface_aromaticity,surface_polarity,surface_charge,total_sasa
GDPa1-001,0.2731034482758621,0.14344827586206896,0.32413793103448274,0.06758620689655172,10193.219038189349
GDPa1-002,0.24346629986244842,0.12929848693259974,0.3603851444291609,0.048143053645116916,10132.655952901168
GDPa1-003,0.25176803394625175,0.09476661951909476,0.3493635077793494,0.028288543140028287,9796.166910681077
GDPa1-004,0.2248939179632249,0.10608203677510608,0.3734087694483734,0.014144271570014143,9959.7170082782
GDPa1-005,0.24893314366998578,0.09815078236130868,0.3357041251778094,0.04694167852062589,10028.19456337805
GDPa1-006,0.22521246458923513,0.10764872521246459,0.3314447592067989,0.13456090651558072,10209.152983188229
GDPa1-007,0.21368715083798884,0.07681564245810056,0.3784916201117318,0.08798882681564246,10098.352479247895
GDPa1-008,0.2222222222222222,0.08720112517580872,0.35864978902953587,0.04922644163150492,10262.422638421043
GDPa1-009,0.23453237410071942,0.11223021582733812,0.3496402877697842,0.034532374100719423,9941.69154340702
GDPa1-010,0.2528248587570621,0.134180790960452,0.3601694915254237,0.0635593220338983,9823.492846212357
GDPa1-011,0.2703081232492997,0.1134453781512605,0.3473389355742297,0.04061624649859944,10063.793992874711
GDPa1-012,0.24089635854341737,0.09103641456582633,0.32072829131652664,0.046218487394957986,10015.949849045917
GDPa1-013,0.26227208976157085,0.1332398316970547,0.32398316970546986,0.03506311360448808,9965.303827206555
GDPa1-014,0.273876404494382,0.14606741573033707,0.3300561797752809,0.037921348314606744,10082.715226332586
GDPa1-015,0.25722543352601157,0.10260115606936417,0.3713872832369942,0.049132947976878616,9761.004446572088
GDPa1-016,0.24426450742240216,0.1106612685560054,0.3076923076923077,0.043184885290148446,10366.59834792578
GDPa1-017,0.2630098452883263,0.13783403656821377,0.3558368495077356,0.0829817158931083,10081.277387640055
GDPa1-018,0.2430167597765363,0.12569832402234637,0.3324022346368715,0.02653631284916201,10277.713943453842
GDPa1-019,0.24689655172413794,0.12413793103448276,0.35172413793103446,0.04,10209.023430945115
GDPa1-020,0.24246395806028834,0.07863695937090433,0.35255570117955437,0.01834862385321101,10913.131627621446
GDPa1-021,0.22598870056497175,0.11016949152542373,0.3742937853107345,0.0423728813559322,10080.873382634385
GDPa1-022,0.2556894243641232,0.13386880856760375,0.31860776439089694,0.07095046854082998,10551.344858253435
GDPa1-023,0.26812585499316005,0.1491108071135431,0.34610123119015046,0.03146374829001368,10251.855106242432
GDPa1-024,0.24645892351274787,0.12181303116147309,0.35694050991501414,0.0679886685552408,9905.626677931163
GDPa1-025,0.25,0.12005649717514125,0.3926553672316384,0.07062146892655367,10060.66367491483
GDPa1-026,0.25648021828103684,0.12005457025920874,0.30559345156889495,0.047748976807639835,10340.33238071575
GDPa1-027,0.24350205198358413,0.1094391244870041,0.37756497948016415,0.08344733242134063,10096.433454427191
GDPa1-028,0.2289855072463768,0.12608695652173912,0.34202898550724636,0.01884057971014493,9919.948053856628
GDPa1-029,0.24720670391061453,0.12290502793296089,0.35335195530726254,0.09497206703910614,10272.97444905998
GDPa1-030,0.2611036339165545,0.12516823687752354,0.3445491251682369,0.04306864064602961,10086.064564634178
GDPa1-031,0.2610497237569061,0.13950276243093923,0.3356353591160221,-0.004143646408839779,10244.570466446066
GDPa1-032,0.22496570644718794,0.102880658436214,0.35253772290809327,0.08916323731138547,10164.83388923021
GDPa1-033,0.22701949860724233,0.10584958217270195,0.3802228412256267,0.0905292479108635,10158.708085519142
GDPa1-034,0.2552011095700416,0.12482662968099861,0.332871012482663,0.06796116504854369,10183.07821756974
GDPa1-035,0.22388059701492538,0.09497964721845319,0.310719131614654,-0.027137042062415198,10142.520219231674
GDPa1-036,0.23132183908045978,0.09626436781609195,0.3864942528735632,0.04310344827586207,10052.299436765117
GDPa1-037,0.24316939890710382,0.11885245901639344,0.3401639344262295,-0.004098360655737705,10100.449943851021
GDPa1-038,0.23120567375886525,0.09219858156028368,0.3262411347517731,0.07234042553191489,10200.277779692142
GDPa1-039,0.271513353115727,0.11869436201780416,0.3367952522255193,0.03857566765578635,9605.461977837125
GDPa1-040,0.2517482517482518,0.0993006993006993,0.34685314685314683,0.019580419580419582,10259.112660344217
GDPa1-041,0.25,0.11350574712643678,0.3577586206896552,0.04885057471264368,9869.77181950267
GDPa1-042,0.28913963328631875,0.15091678420310295,0.3229901269393512,0.04372355430183357,9919.271524631353
GDPa1-043,0.28091397849462363,0.12903225806451613,0.3387096774193548,0.03763440860215054,10483.025082021928
GDPa1-044,0.2563380281690141,0.1267605633802817,0.4112676056338028,0.03380281690140845,10016.394415164405
GDPa1-045,0.28308823529411764,0.13357843137254902,0.32107843137254904,0.015931372549019607,11199.766166059013
GDPa1-046,0.24720670391061453,0.09636871508379888,0.3715083798882682,0.029329608938547486,9831.719866975482
